Year,Month,Day,Time,Sugar
2023,5,13,23:17:24,143
2023,5,14,00:09:18,77
2023,5,15,07:22:48,182
2023,5,16,00:01:50,142
2023,5,17,18:00:13,145
2023,5,18,11:54:56,124
2023,5,19,07:17:50,152
2023,5,20,04:29:46,171
2023,5,21,21:56:06,156
2023,5,22,03:26:35,118
2023,5,23,03:18:28,175
2023,5,24,07:09:34,151
2023,5,25,07:22:11,97
2023,5,26,06:53:54,116
2023,5,27,04:47:27,86
2023,5,28,09:10:00,91
2023,5,29,18:19:49,110
2023,5,30,23:39:22,77
2023,5,31,00:43:49,166
2023,6,1,12:11:18,139
2023,6,2,19:38:17,170
2023,6,3,06:35:10,89
2023,6,4,20:19:02,151
2023,6,5,08:19:56,143
2023,6,6,17:04:20,133
2023,6,7,11:07:56,177
2023,6,8,00:17:10,170
2023,6,9,23:13:12,143
2023,6,10,17:12:28,138
2023,6,11,15:14:40,161
2023,6,12,12:43:19,166
2023,6,13,09:29:32,124
2023,6,14,11:42:46,100
2023,6,15,15:02:27,100
2023,6,16,07:31:56,145
2023,6,17,22:28:20,122
2023,6,18,13:07:13,164
2023,6,19,23:03:35,86
2023,6,20,23:54:43,113
2023,6,21,16:06:00,137
2023,6,22,15:34:53,76
2023,6,23,08:00:10,155
2023,6,24,17:53:10,183
2023,6,25,06:33:05,81
2023,6,26,09:15:04,145
2023,6,27,18:19:02,117
2023,6,28,19:34:52,109
2023,6,29,06:03:57,78
2023,6,30,07:32:05,180
2023,7,1,16:33:05,105
2023,7,2,23:25:53,177
2023,7,3,10:02:13,151
2023,7,4,23:06:31,85
2023,7,5,08:05:36,90
2023,7,6,02:57:47,77
2023,7,7,08:22:04,87
2023,7,8,06:55:06,183
2023,7,9,13:17:31,117
2023,7,10,03:36:22,117
2023,7,11,07:31:00,97
2023,7,12,10:05:47,183
2023,7,13,05:05:31,173
2023,7,14,07:48:46,97
2023,7,15,20:08:16,117
2023,7,16,17:53:29,182
2023,7,17,20:22:35,134
2023,7,18,11:27:32,85
2023,7,19,16:38:32,78
2023,7,20,19:10:42,129
2023,7,21,20:34:29,106
2023,7,22,02:19:57,137
2023,7,23,08:00:27,184
2023,7,24,04:50:04,165
2023,7,25,18:31:01,109
2023,7,26,00:52:30,157
2023,7,27,06:15:13,175
2023,7,28,14:48:47,132
2023,7,29,05:37:40,92
2023,7,30,11:48:05,153
2023,7,31,17:17:29,86
2023,8,1,07:41:18,113
2023,8,2,05:36:28,180
2023,8,3,14:44:25,157
2023,8,4,12:50:21,93
2023,8,5,21:21:54,127
2023,8,6,18:57:06,175
2023,8,7,00:58:36,86
2023,8,8,23:42:40,165
2023,8,9,11:43:58,81
2023,8,10,19:37:16,135
2023,8,11,04:37:43,105
2023,8,12,21:07:17,159
2023,8,13,19:26:37,103
2023,8,14,16:01:07,170
2023,8,15,20:05:23,107
2023,8,16,23:39:31,143
2023,8,17,15:45:40,108
2023,8,18,23:51:09,165
2023,8,19,01:46:24,89
2023,8,20,05:52:54,122
2023,8,21,21:22:59,115
2023,8,22,12:43:54,174
2023,8,23,19:40:07,105
2023,8,24,20:39:41,142
2023,8,25,12:07:16,138
2023,8,26,17:25:34,164
2023,8,27,18:55:31,132
2023,8,28,18:43:20,161
2023,8,29,00:57:29,102
2023,8,30,18:47:02,156
2023,8,31,12:22:32,134
2023,9,1,16:46:32,109
2023,9,2,09:23:02,91
2023,9,3,03:32:35,161
2023,9,4,10:13:14,168
2023,9,5,00:04:23,75
2023,9,6,11:44:59,122
2023,9,7,06:09:00,105
2023,9,8,12:31:17,95
2023,9,9,13:38:28,88
2023,9,10,10:58:25,122
2023,9,11,10:16:39,105
2023,9,12,13:07:57,127
2023,9,13,08:46:47,85
2023,9,14,13:21:41,135
2023,9,15,12:24:58,167
2023,9,16,18:25:15,85
2023,9,17,22:56:22,121
2023,9,18,04:45:42,129
2023,9,19,19:15:27,155
2023,9,20,14:18:17,95
2023,9,21,22:26:45,132
2023,9,22,09:39:45,127
2023,9,23,15:45:06,97
2023,9,24,13:08:53,178
2023,9,25,02:49:38,152
2023,9,26,23:50:14,153
2023,9,27,14:47:04,143
2023,9,28,05:23:15,121
2023,9,29,15:17:25,121
2023,9,30,04:34:13,97
2023,10,1,20:55:01,183
2023,10,2,07:51:14,135
2023,10,3,23:51:50,117
2023,10,4,16:18:11,131
2023,10,5,01:02:42,87
2023,10,6,02:50:25,124
2023,10,7,01:22:46,115
2023,10,8,01:04:04,149
2023,10,9,06:11:55,149
2023,10,10,07:33:37,136
2023,10,11,14:03:14,136
2023,10,12,08:07:25,134
2023,10,13,20:33:29,174
2023,10,14,04:26:38,93
2023,10,15,13:15:34,98
2023,10,16,08:17:38,91
2023,10,17,05:35:21,180
2023,10,18,04:05:13,114
2023,10,19,08:21:14,158
2023,10,20,12:46:32,134
2023,10,21,05:02:53,91
2023,10,22,18:11:20,98
2023,10,23,13:50:03,134
2023,10,24,00:09:29,81
2023,10,25,07:17:44,182
2023,10,26,08:29:11,113
2023,10,27,17:03:13,92
2023,10,28,15:06:31,165
2023,10,29,21:12:13,135
2023,10,30,12:08:50,154
2023,10,31,15:32:30,116
